Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,Country,Employment,ConvertedCompYearly
55-64 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",24.0,24.0,Australia,"Employed, full-time",95796.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8.0,3.0,Australia,"Employed, full-time",71351.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,13.0,Ukraine,"Independent contractor, freelancer, or self-employed",80000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,9.0,Germany,"Employed, full-time",64444.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,2.0,Bangladesh,"Employed, full-time",637.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,14.0,Spain,"Employed, full-time",64444.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,2.0,Pakistan,"Employed, full-time",3517.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5.0,Botswana,"Employed, full-time",40036.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,13.0,United States of America,"Independent contractor, freelancer, or self-employed",60000.0
18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0.0,India,"Employed, full-time",5982.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,Canada,"Employed, full-time",105405.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,Russian Federation,"Employed, full-time",26331.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,2.0,India,"Employed, full-time",8374.0
18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,2.0,India,"Employed, full-time",10169.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,7.0,India,"Employed, full-time",25434.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,6.0,Ukraine,"Employed, full-time",3250.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5.0,India,"Employed, full-time",5982.0
25-34 years old,"Hybrid (some remote, some in-person)",Something else,12.0,8.0,Switzerland,"Employed, full-time",89134.0
18-24 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2.0,0.0,Ukraine,"Employed, full-time",700.0
35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,15.0,6.0,Netherlands,"Employed, full-time",102036.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,12.0,3.0,Czech Republic,"Employed, part-time",8035.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,17.0,Finland,"Employed, full-time",59073.0
18-24 years old,In-person,"Associate degree (A.A., A.S., etc.)",2.0,0.0,Ukraine,"Employed, full-time",383.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,10.0,9.0,Germany,"Employed, full-time",75184.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,9.0,Slovenia,"Employed, full-time;Independent contractor, freelancer, or self-employed",66592.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10.0,Australia,"Employed, full-time",85886.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0.0,India,"Employed, full-time",1196.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,12.0,India,"Employed, full-time",47854.0
25-34 years old,Remote,Some college/university study without earning a degree,18.0,18.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",165000.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,4.0,India,"Employed, full-time",17945.0
25-34 years old,In-person,Some college/university study without earning a degree,5.0,0.0,Italy,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",22018.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,3.0,United Arab Emirates,"Employed, full-time;Student, full-time",1634.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,14.0,France,"Employed, full-time",51555.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,12.0,Germany,"Employed, full-time",91295.0
55-64 years old,"Hybrid (some remote, some in-person)",Something else,20.0,18.0,Nomadic,"Employed, full-time;Independent contractor, freelancer, or self-employed",85925.0
35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,14.0,10.0,United States of America,"Employed, full-time",100000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,4.0,Germany,"Employed, full-time",63573.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,8.0,Greece,"Employed, full-time",1869.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,32.0,Australia,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",59459.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,13.0,Qatar,"Employed, full-time",102822.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,12.0,Czech Republic,"Employed, full-time",52122.0
25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",8.0,8.0,Brazil,"Employed, full-time;Independent contractor, freelancer, or self-employed",33568.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,20.0,Ukraine,"Employed, full-time",118483.0
18-24 years old,In-person,Some college/university study without earning a degree,4.0,4.0,China,"Employed, full-time",22076.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10.0,Viet Nam,"Employed, full-time;Independent contractor, freelancer, or self-employed",47165.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,23.0,United Arab Emirates,"Employed, full-time",95292.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,7.0,Germany,"Employed, full-time",5155.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0,2.0,Denmark,"Employed, full-time;Student, full-time",45649.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,12.0,Finland,"Employed, full-time",64444.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,2.0,Slovakia,"Employed, full-time",30074.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,14.0,Republic of Korea,"Independent contractor, freelancer, or self-employed",72532.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5.0,Germany,"Student, full-time;Employed, part-time",13237.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,4.0,Italy,"Employed, full-time",37592.0
18-24 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7.0,4.0,Iraq,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",22800.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,11.0,Ukraine,"Employed, full-time",100800.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,9.0,Italy,"Employed, full-time",47259.0
25-34 years old,Remote,Something else,13.0,5.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",57325.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0,8.0,Ukraine,"Employed, full-time",3500.0
18-24 years old,Remote,Some college/university study without earning a degree,8.0,8.0,Greece,"Employed, full-time",34370.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,9.0,India,"Employed, full-time",39479.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5.0,Germany,"Employed, full-time",59073.0
45-54 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,21.0,Poland,"Employed, full-time",111359.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,5.0,Madagascar,"Employed, full-time",13423.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0.0,Malaysia,"Employed, full-time",12713.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,Belgium,"Employed, full-time",69814.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,9.0,Indonesia,"Independent contractor, freelancer, or self-employed",14720.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,India,"Employed, full-time",10169.0
18-24 years old,In-person,"Associate degree (A.A., A.S., etc.)",4.0,2.0,Spain,"Employed, part-time",21481.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,12.0,Slovenia,"Employed, full-time",107406.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,China,"Employed, full-time",27595.0
18-24 years old,Remote,Some college/university study without earning a degree,5.0,3.0,Russian Federation,"Employed, full-time",2801.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,2.0,Pakistan,"Employed, full-time",5384.0
18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,2.0,Ukraine,"Employed, full-time",4937.0
18-24 years old,Remote,Some college/university study without earning a degree,5.0,0.0,Netherlands,"Student, full-time;Employed, part-time",9744.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7.0,1.0,Austria,"Student, full-time;Employed, part-time",49622.0
18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,4.0,Pakistan,"Employed, full-time",8614.0
18-24 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,2.0,2.0,Italy,"Employed, full-time",24703.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,7.0,Germany,"Employed, full-time",69814.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,3.0,China,"Employed, full-time",19316.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25.0,21.0,Switzerland,"Employed, full-time",189409.0
35-44 years old,Remote,Some college/university study without earning a degree,8.0,8.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",63694.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,15.0,Cyprus,"Employed, full-time",85925.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,2.0,Australia,"Employed, full-time",39640.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,13.0,Germany,"Employed, full-time",75184.0
55-64 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",36.0,25.0,Japan,"Employed, full-time",63644.0
35-44 years old,Remote,Primary/elementary school,5.0,3.0,Ukraine,"Employed, full-time",963.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6.0,5.0,Sweden,"Employed, full-time",80123.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,9.0,Netherlands,"Employed, full-time",59073.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,3.0,Nepal,"Employed, full-time",5000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5.0,Greece,"Employed, full-time",42425.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,3.0,Ukraine,"Employed, full-time",43822.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,Switzerland,"Employed, full-time",89134.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,3.0,Romania,"Employed, full-time",19420.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,7.0,Ukraine,"Employed, full-time",44431.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,3.0,India,"Employed, full-time",14954.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,18.0,Germany,"Independent contractor, freelancer, or self-employed",107406.0
35-44 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8.0,8.0,Sweden,"Employed, full-time",2957.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,25.0,Italy,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",139628.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,1.0,India,"Employed, full-time",4307.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,4.0,Poland,"Employed, full-time",46452.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,4.0,Taiwan,"Employed, full-time",37061.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,15.0,Indonesia,"Employed, full-time",2.0
18-24 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8.0,0.0,France,"Employed, full-time;Student, full-time",1396.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,7.0,Germany,"Employed, full-time",77332.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,Kenya,"Employed, full-time",9302.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,Ukraine,"Employed, full-time",35545.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,4.0,Denmark,"Student, full-time;Employed, part-time",76321.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,United Arab Emirates,"Employed, full-time",60715.0
18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,3.0,Romania,"Employed, full-time",25893.0
55-64 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8.0,7.0,Serbia,"Employed, full-time;Independent contractor, freelancer, or self-employed",26852.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,3.0,Cyprus,"Employed, full-time",70888.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,2.0,France,"Employed, full-time",40814.0
25-34 years old,In-person,Some college/university study without earning a degree,16.0,6.0,Germany,"Employed, full-time",55851.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,6.0,Sweden,"Employed, full-time",62000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5.0,Lithuania,"Employed, full-time",80555.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,5.0,Greece,"Employed, full-time",44037.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,3.0,Sri Lanka,"Employed, full-time",3951.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,Belgium,"Independent contractor, freelancer, or self-employed",21481.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,2.0,France,"Employed, full-time;Student, part-time",12889.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,12.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",118471.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,France,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",18044.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,4.0,Ukraine,"Employed, full-time",24000.0
25-34 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12.0,9.0,Italy,"Employed, full-time",44037.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,6.0,France,"Employed, full-time",59073.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,6.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",76433.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10.0,5.0,Switzerland,"Employed, full-time",102504.0
45-54 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",37.0,25.0,Germany,"Employed, full-time",91295.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,11.0,United States of America,"Employed, full-time",160000.0
25-34 years old,Remote,Some college/university study without earning a degree,15.0,2.0,Greece,"Employed, full-time",26852.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,3.0,India,"Employed, full-time",11963.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,25.0,Germany,"Employed, full-time",193331.0
25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",4.0,3.0,France,"Employed, full-time",33296.0
18-24 years old,Remote,Some college/university study without earning a degree,10.0,5.0,Lithuania,"Independent contractor, freelancer, or self-employed",48333.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,12.0,Czech Republic,"Employed, full-time",33445.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,14.0,6.0,Germany,"Employed, full-time",39740.0
45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30.0,17.0,Switzerland,"Employed, full-time",155984.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,10.0,Ukraine,"Independent contractor, freelancer, or self-employed",115000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,20.0,New Zealand,"Independent contractor, freelancer, or self-employed",125986.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,3.0,Norway,"Employed, full-time",65514.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26.0,21.0,Germany,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",279256.0
25-34 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",7.0,6.0,France,"Employed, part-time",43.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,12.0,Poland,"Employed, full-time",79189.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,12.0,Poland,"Independent contractor, freelancer, or self-employed",24746.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,Turkey,"Employed, full-time",19.0
45-54 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",27.0,18.0,France,"Employed, full-time",48333.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,8.0,Ukraine,"Employed, full-time",51836.0
18-24 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,4.0,2.0,Ukraine,"Employed, full-time",12342.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,4.0,France,"Employed, full-time",47259.0
55-64 years old,Remote,Some college/university study without earning a degree,32.0,32.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",152865.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,4.0,India,"Employed, full-time",9332.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,2.0,Ukraine,"Employed, full-time;Employed, part-time",19253.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,1.0,Saudi Arabia,"Employed, full-time;Independent contractor, freelancer, or self-employed",25597.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,6.0,Italy,"Employed, part-time",12889.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,2.0,Hungary,"Employed, full-time",32610.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,8.0,6.0,Croatia,"Employed, full-time",75184.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10.0,Netherlands,"Employed, part-time",62296.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,2.0,Hong Kong (S.A.R.),"Employed, full-time",2816.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5.0,Luxembourg,"Employed, full-time",66592.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10.0,Croatia,"Employed, full-time",5327.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,Germany,"Employed, full-time",63370.0
18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8.0,5.0,Israel,"Employed, full-time",103889.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,12.0,Spain,"Employed, full-time;Independent contractor, freelancer, or self-employed",75184.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,7.0,Romania,"Employed, full-time",46607.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,15.0,Germany,"Employed, full-time",112777.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,19.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",92993.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,9.0,France,"Employed, full-time",68740.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,11.0,Germany,"Employed, full-time",161109.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,7.0,Italy,"Employed, full-time",59073.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10.0,Philippines,"Employed, full-time",85108.0
25-34 years old,Remote,Some college/university study without earning a degree,13.0,7.0,Poland,"Employed, full-time;Independent contractor, freelancer, or self-employed",49493.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,2.0,Germany,"Student, full-time;Employed, part-time",20407.0
25-34 years old,"Hybrid (some remote, some in-person)",Something else,8.0,7.0,Netherlands,"Employed, full-time",59073.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,25.0,Australia,"Employed, full-time",118919.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,Netherlands,"Employed, full-time",60147.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,14.0,Italy,"Employed, part-time",31148.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,18.0,Romania,"Independent contractor, freelancer, or self-employed",118147.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,3.0,Taiwan,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",12354.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,7.0,Greece,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",37291.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,4.0,Belgium,"Employed, full-time",91295.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32.0,40.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time;Independent contractor, freelancer, or self-employed",140127.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,6.0,India,"Employed, full-time",2512.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,7.0,Norway,"Employed, full-time",74873.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,6.0,Ukraine,"Employed, full-time",3949.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,2.0,Liechtenstein,"Student, part-time;Employed, part-time",38996.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,25.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time;Independent contractor, freelancer, or self-employed",115159.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34.0,28.0,Spain,"Employed, full-time",171850.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,2.0,Portugal,"Employed, full-time",26852.0
